               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.019571,            0.013882,                   0,             0.69122,             0.69956,             0.69994,             0.50049,             0.02678,            0.021816,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.020262,            0.014273,                   0,              0.6812,             0.72794,             0.71185,             0.50784,            0.026135,            0.021582,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.019388,            0.013963,                   0,             0.70224,             0.68199,             0.70532,             0.51262,            0.026174,            0.021803,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.01915,            0.014048,                   0,             0.66592,             0.70718,             0.70236,             0.50616,            0.026518,            0.022975,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.018834,            0.013472,                   0,             0.70276,             0.66497,              0.6987,             0.51434,            0.025589,            0.022556,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.018933,             0.01347,                   0,             0.71631,             0.65993,             0.70297,             0.51418,            0.025677,             0.02215,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.018625,            0.013549,                   0,             0.67371,             0.71324,             0.70242,             0.51291,            0.025528,            0.022057,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.018294,            0.012992,                   0,             0.69738,             0.70745,             0.70795,             0.51607,             0.02556,            0.022001,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.018551,            0.012768,                   0,             0.68031,             0.68566,             0.69943,              0.5133,            0.025684,            0.022229,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.018438,            0.013498,                   0,             0.68389,             0.70393,              0.7025,             0.51618,            0.025833,            0.022382,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.018748,            0.013311,                   0,             0.67434,              0.7156,             0.70168,             0.51106,            0.025876,             0.02249,                   0,            0.000496,            0.000496,            0.000496
