               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045447,            0.065364,            0.016449,             0.67019,             0.60443,             0.68218,             0.44843,            0.041351,            0.038265,            0.010911,              0.0937,              0.0007,              0.0007
                   1,            0.043832,            0.061739,            0.017214,             0.74663,             0.62649,             0.72472,              0.4838,            0.040442,             0.03709,           0.0093701,            0.086485,           0.0014851,           0.0014851
                   2,             0.04476,            0.070139,            0.015991,             0.77641,             0.64574,             0.74933,             0.48494,            0.040199,            0.036181,           0.0083066,            0.079254,           0.0022545,           0.0022545
                   3,            0.044048,            0.062046,            0.013606,             0.75932,             0.66892,             0.76154,             0.50196,            0.040249,            0.035921,           0.0075628,            0.072008,           0.0030079,           0.0030079
                   4,            0.044543,            0.060823,            0.013252,             0.77959,             0.69783,             0.77809,             0.51268,            0.040031,            0.035185,           0.0068912,            0.064746,           0.0037456,           0.0037456
                   5,            0.045228,            0.056129,            0.013653,                0.78,             0.71346,             0.79197,             0.49753,            0.041993,            0.033515,           0.0063297,            0.057467,           0.0044673,           0.0044673
                   6,            0.045317,             0.05046,            0.013331,              0.7706,             0.71748,             0.78282,              0.4698,            0.043325,            0.033272,           0.0060823,            0.050173,           0.0051733,           0.0051733
                   7,            0.047804,            0.060126,            0.010304,             0.79218,             0.71281,              0.7965,             0.49074,             0.04334,            0.032712,           0.0055158,            0.042863,           0.0058634,           0.0058634
                   8,            0.047948,            0.058353,             0.01239,             0.76561,             0.72542,              0.8007,             0.48359,            0.045223,            0.032671,           0.0053134,            0.035538,           0.0065377,           0.0065377
                   9,             0.04582,             0.05473,            0.010072,             0.73692,             0.78111,             0.81057,             0.50606,            0.042903,            0.031996,            0.005229,            0.028196,           0.0071961,           0.0071961
                  10,            0.047535,            0.062417,            0.010282,             0.73529,             0.76917,             0.79819,             0.46882,            0.048442,            0.030733,           0.0051103,            0.020839,           0.0078387,           0.0078387
                  11,            0.048111,            0.055146,            0.009805,             0.77325,             0.75872,             0.81008,              0.5154,            0.044534,            0.030243,           0.0051604,            0.013465,           0.0084655,           0.0084655
                  12,            0.047164,            0.049638,            0.011732,             0.79838,             0.77541,             0.80036,             0.48762,            0.045265,            0.029616,           0.0050615,            0.008812,            0.008812,            0.008812
                  13,            0.046681,            0.055705,             0.01122,             0.81126,             0.75518,             0.82196,              0.5154,            0.044034,            0.029425,           0.0051845,            0.008812,            0.008812,            0.008812
                  14,            0.045738,            0.048467,           0.0098107,             0.82762,             0.75923,             0.83106,             0.52886,            0.043184,            0.029197,           0.0051508,            0.008713,            0.008713,            0.008713
                  15,            0.043924,            0.051677,           0.0093156,             0.81309,             0.77053,             0.83045,             0.49923,            0.044982,            0.029375,           0.0049543,            0.008614,            0.008614,            0.008614
                  16,            0.047598,             0.04866,           0.0097318,             0.79233,             0.78974,             0.83849,             0.52984,            0.041395,            0.029083,           0.0050381,            0.008515,            0.008515,            0.008515
                  17,            0.043496,            0.048502,           0.0098943,             0.80507,             0.79539,             0.85342,              0.5649,            0.040623,            0.028891,           0.0049772,            0.008416,            0.008416,            0.008416
                  18,            0.042769,            0.048845,           0.0095907,             0.77509,             0.81417,             0.85258,             0.55245,            0.040036,            0.028839,            0.005128,            0.008317,            0.008317,            0.008317
